<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.02	17:45:00	21397.28	21444.03	21392.15	21433.78	48327	0	95
2025.06.02	18:00:00	21433.65	21438.28	21408.53	21432.03	45554	0	95
2025.06.02	18:15:00	21432.15	21441.03	21408.50	21421.28	36905	0	95
2025.06.02	18:30:00	21421.15	21438.03	21400.78	21406.15	35070	0	95
2025.06.02	18:45:00	21406.03	21454.15	21404.28	21445.65	31199	0	95
2025.06.02	19:00:00	21445.53	21473.90	21443.15	21450.28	32833	0	95
2025.06.02	19:15:00	21450.15	21463.03	21439.90	21447.65	34241	0	95
2025.06.02	19:30:00	21447.53	21461.53	21437.03	21441.90	33513	0	95
2025.06.02	19:45:00	21442.03	21451.65	21424.65	21445.15	27898	0	95
2025.06.02	20:00:00	21445.03	21466.90	21426.40	21461.15	36435	0	95
2025.06.02	20:15:00	21461.28	21511.03	21461.03	21507.78	43468	0	95
2025.06.02	20:30:00	21507.90	21514.53	21489.75	21504.15	27779	0	95
2025.06.02	20:45:00	21504.28	21524.50	21494.40	21516.90	21372	0	95
2025.06.02	21:00:00	21517.03	21529.40	21511.78	21516.28	24776	0	95
2025.06.02	21:15:00	21516.15	21543.15	21505.28	21531.28	26124	0	95
2025.06.02	21:30:00	21531.15	21531.78	21503.78	21510.53	27360	0	95
2025.06.02	21:45:00	21510.40	21539.40	21495.15	21533.53	49426	0	95
2025.06.02	22:00:00	21533.40	21558.65	21527.15	21558.40	23838	0	95
2025.06.02	22:15:00	21558.53	21575.78	21557.78	21564.78	7427	0	95
2025.06.02	22:30:00	21564.65	21564.78	21549.03	21558.28	3467	0	95
2025.06.02	22:45:00	21558.15	21558.78	21549.53	21553.90	3081	0	95
2025.06.03	00:00:00	21554.53	21554.53	21531.90	21533.00	1720	0	95
2025.06.03	00:15:00	21532.25	21542.00	21514.90	21519.50	1615	0	95
2025.06.03	00:30:00	21519.25	21527.50	21516.75	21522.75	1951	0	95
2025.06.03	00:45:00	21522.90	21525.75	21517.78	21518.50	2181	0	95
2025.06.03	01:00:00	21518.50	21534.90	21512.75	21524.00	5434	0	95
2025.06.03	01:15:00	21524.00	21543.40	21465.50	21542.00	10914	0	95
2025.06.03	01:30:00	21542.15	21544.15	21502.25	21517.75	7268	0	95
2025.06.03	01:45:00	21517.65	21522.25	21489.53	21494.15	7151	0	95
2025.06.03	02:00:00	21494.28	21501.78	21483.90	21491.40	8507	0	95
