<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.05	08:15:00	21499.00	21513.25	21492.25	21504.90	7463	0	95
2025.02.05	08:30:00	21504.78	21510.25	21481.25	21506.50	8622	0	95
2025.02.05	08:45:00	21506.40	21517.15	21503.50	21514.90	7472	0	95
2025.02.05	09:00:00	21515.00	21528.90	21505.40	21511.15	15674	0	95
2025.02.05	09:15:00	21511.00	21537.65	21506.28	21535.65	9889	0	95
2025.02.05	09:30:00	21535.53	21540.15	21451.00	21457.25	27165	0	95
2025.02.05	09:45:00	21457.40	21483.00	21452.40	21468.75	16143	0	95
2025.02.05	10:00:00	21468.90	21505.40	21457.28	21495.65	18980	0	95
2025.02.05	10:15:00	21495.50	21498.65	21459.78	21466.00	14564	0	95
2025.02.05	10:30:00	21465.90	21469.40	21436.15	21444.40	15195	0	95
2025.02.05	10:45:00	21444.28	21456.40	21435.00	21440.90	11469	0	95
2025.02.05	11:00:00	21440.75	21472.50	21429.00	21462.15	11413	0	95
2025.02.05	11:15:00	21462.03	21473.40	21457.78	21466.40	7854	0	95
2025.02.05	11:30:00	21466.53	21482.03	21462.53	21469.65	8539	0	95
2025.02.05	11:45:00	21469.53	21479.78	21460.75	21478.65	7011	0	95
2025.02.05	12:00:00	21478.78	21488.28	21473.75	21485.40	6934	0	95
2025.02.05	12:15:00	21485.28	21492.90	21476.65	21486.03	6195	0	95
2025.02.05	12:30:00	21485.90	21488.28	21476.75	21485.78	7245	0	95
2025.02.05	12:45:00	21485.65	21496.90	21482.15	21493.78	6406	0	95
2025.02.05	13:00:00	21494.00	21498.78	21470.40	21474.65	10446	0	95
2025.02.05	13:15:00	21474.53	21499.15	21474.00	21498.90	9432	0	95
2025.02.05	13:30:00	21498.78	21505.03	21487.75	21504.03	7046	0	95
2025.02.05	13:45:00	21503.90	21514.25	21496.90	21510.40	8899	0	95
2025.02.05	14:00:00	21510.50	21516.15	21490.90	21508.25	17743	0	95
2025.02.05	14:15:00	21508.25	21530.90	21486.00	21527.50	16692	0	95
2025.02.05	14:30:00	21527.50	21551.25	21508.00	21526.53	15555	0	95
2025.02.05	14:45:00	21526.40	21533.40	21515.40	21528.90	13715	0	95
2025.02.05	15:00:00	21528.75	21536.15	21509.65	21532.40	15037	0	95
2025.02.05	15:15:00	21532.28	21555.65	21530.50	21551.15	18729	0	95
2025.02.05	15:30:00	21550.25	21587.40	21518.65	21569.50	141793	0	95
2025.02.05	15:45:00	21569.25	21590.25	21533.03	21562.75	92576	0	95
2025.02.05	16:00:00	21562.75	21606.50	21500.65	21558.25	158657	0	95
2025.02.05	16:15:00	21558.40	21583.65	21509.65	21581.15	105851	0	95
2025.02.05	16:30:00	21581.28	21604.15	21545.50	21597.03	73906	0	95
2025.02.05	16:45:00	21596.90	21603.40	21569.15	21591.03	59396	0	95
2025.02.05	17:00:00	21590.90	21632.25	21576.00	21601.53	54259	0	95
2025.02.05	17:15:00	21601.40	21621.90	21562.28	21621.53	56132	0	95
2025.02.05	17:30:00	21621.40	21658.78	21613.28	21656.28	40326	0	95
2025.02.05	17:45:00	21656.15	21718.78	21647.28	21710.78	47839	0	95
2025.02.05	18:00:00	21710.65	21741.53	21708.15	21727.78	38533	0	95
2025.02.05	18:15:00	21727.65	21728.78	21698.65	21706.78	37701	0	95
2025.02.05	18:30:00	21706.65	21714.28	21694.03	21703.03	28157	0	95
2025.02.05	18:45:00	21702.90	21717.78	21683.90	21704.53	30094	0	95
2025.02.05	19:00:00	21704.65	21714.90	21687.03	21699.03	25400	0	95
2025.02.05	19:15:00	21698.90	21710.90	21671.15	21690.15	27176	0	95
2025.02.05	19:30:00	21690.28	21721.65	21679.78	21704.78	31297	0	95
2025.02.05	19:45:00	21704.65	21711.65	21685.78	21710.28	28282	0	95
2025.02.05	20:00:00	21710.15	21735.78	21705.53	21729.03	25827	0	95
2025.02.05	20:15:00	21728.90	21730.28	21714.65	21716.78	20134	0	95
2025.02.05	20:30:00	21716.90	21723.65	21707.00	21711.78	23119	0	95
2025.02.05	20:45:00	21711.65	21718.40	21703.00	21708.78	21402	0	95
2025.02.05	21:00:00	21708.90	21724.78	21708.28	21715.78	20354	0	95
2025.02.05	21:15:00	21715.65	21752.78	21715.28	21743.78	25279	0	95
2025.02.05	21:30:00	21743.65	21746.28	21689.03	21696.28	30304	0	95
2025.02.05	21:45:00	21696.15	21768.40	21691.03	21760.40	52770	0	95
2025.02.05	22:00:00	21760.53	21786.78	21749.53	21783.90	23392	0	95
2025.02.05	22:15:00	21783.75	21794.78	21764.90	21767.28	8980	0	95
2025.02.05	22:30:00	21767.15	21768.53	21754.15	21755.53	5471	0	95
2025.02.05	22:45:00	21755.40	21771.78	21750.90	21769.75	5407	0	95
2025.02.06	00:00:00	21763.78	21764.40	21749.40	21754.00	2110	0	95
2025.02.06	00:15:00	21753.75	21768.65	21752.00	21761.50	1835	0	95
2025.02.06	00:30:00	21761.50	21764.15	21750.28	21759.78	1887	0	95
2025.02.06	00:45:00	21759.50	21774.90	21758.00	21772.15	3030	0	95
2025.02.06	01:00:00	21772.25	21797.15	21770.00	21784.40	9339	0	95
2025.02.06	01:15:00	21784.28	21789.78	21780.40	21789.00	4373	0	95
2025.02.06	01:30:00	21789.15	21792.50	21773.15	21777.40	4152	0	95
2025.02.06	01:45:00	21777.53	21778.15	21765.00	21773.65	4144	0	95
2025.02.06	02:00:00	21773.78	21783.15	21767.65	21781.53	4855	0	95
2025.02.06	02:15:00	21781.65	21784.15	21773.15	21775.65	4177	0	95
2025.02.06	02:30:00	21775.75	21779.40	21762.90	21766.40	6772	0	95
2025.02.06	02:45:00	21766.25	21774.28	21763.40	21767.40	4691	0	95
2025.02.06	03:00:00	21767.50	21774.15	21757.90	21772.15	5202	0	95
2025.02.06	03:15:00	21772.03	21780.15	21771.03	21779.90	4113	0	95
2025.02.06	03:30:00	21779.75	21784.03	21776.50	21778.90	3411	0	95
2025.02.06	03:45:00	21778.78	21782.65	21778.00	21780.40	3197	0	95
2025.02.06	04:00:00	21780.28	21788.15	21771.50	21777.15	4333	0	95
2025.02.06	04:15:00	21777.28	21779.03	21771.50	21773.15	3028	0	95
2025.02.06	04:30:00	21773.00	21776.15	21768.90	21772.40	2333	0	95
2025.02.06	04:45:00	21772.28	21781.65	21770.03	21779.90	2114	0	95
2025.02.06	05:00:00	21779.78	21787.28	21777.15	21785.78	1889	0	95
2025.02.06	05:15:00	21785.65	21791.90	21781.78	21790.65	2206	0	95
2025.02.06	05:30:00	21790.78	21794.53	21789.50	21791.65	2243	0	95
2025.02.06	05:45:00	21791.53	21805.65	21790.53	21804.28	2859	0	95
2025.02.06	06:00:00	21804.15	21815.15	21801.90	21813.78	4047	0	95
2025.02.06	06:15:00	21813.65	21827.65	21811.65	21824.65	4301	0	95
2025.02.06	06:30:00	21824.53	21831.90	21816.65	21825.90	3858	0	95
2025.02.06	06:45:00	21825.78	21829.65	21821.75	21828.03	3046	0	95
2025.02.06	07:00:00	21828.15	21829.78	21818.90	21820.15	2798	0	95
2025.02.06	07:15:00	21820.25	21826.65	21816.90	21823.53	3156	0	95
2025.02.06	07:30:00	21823.40	21823.90	21814.90	21818.40	3093	0	95
2025.02.06	07:45:00	21818.28	21822.03	21806.78	21810.40	3501	0	95
2025.02.06	08:00:00	21810.25	21830.15	21808.25	21819.90	5430	0	95
2025.02.06	08:15:00	21820.00	21820.90	21799.00	21806.40	6003	0	95
2025.02.06	08:30:00	21806.25	21808.90	21793.25	21800.90	4489	0	95
2025.02.06	08:45:00	21800.78	21802.90	21782.50	21787.40	5627	0	95
2025.02.06	09:00:00	21787.28	21792.53	21770.00	21783.65	13264	0	95
2025.02.06	09:15:00	21783.78	21800.90	21772.40	21794.15	9785	0	95
2025.02.06	09:30:00	21794.40	21814.28	21790.28	21811.65	9003	0	95
2025.02.06	09:45:00	21811.78	21814.03	21800.78	21802.28	6877	0	95
2025.02.06	10:00:00	21802.40	21829.28	21792.78	21826.90	10994	0	95
2025.02.06	10:15:00	21827.03	21829.65	21800.03	21809.25	8290	0	95
2025.02.06	10:30:00	21809.00	21815.53	21796.40	21801.65	7024	0	95
2025.02.06	10:45:00	21801.78	21803.90	21791.90	21793.90	6757	0	95
2025.02.06	11:00:00	21794.03	21809.00	21790.90	21803.90	7667	0	95
2025.02.06	11:15:00	21804.03	21805.40	21784.00	21784.90	6694	0	95
2025.02.06	11:30:00	21785.03	21794.15	21776.50	21790.15	6914	0	95
2025.02.06	11:45:00	21790.28	21794.03	21774.25	21778.65	6583	0	95
2025.02.06	12:00:00	21778.53	21778.53	21748.03	21753.90	13373	0	95
2025.02.06	12:15:00	21753.75	21760.90	21737.40	21747.78	10993	0	95
2025.02.06	12:30:00	21747.90	21749.15	21727.40	21742.40	10223	0	95
2025.02.06	12:45:00	21742.28	21754.03	21716.00	21724.75	11355	0	95
2025.02.06	13:00:00	21725.00	21730.75	21705.50	21717.78	10516	0	95
2025.02.06	13:15:00	21717.65	21743.15	21711.78	21739.15	10686	0	95
2025.02.06	13:30:00	21739.03	21753.40	21724.90	21748.53	10683	0	95
2025.02.06	13:45:00	21748.65	21765.28	21746.65	21763.15	9386	0	95
2025.02.06	14:00:00	21763.28	21775.03	21752.15	21765.90	12832	0	95
2025.02.06	14:15:00	21766.00	21774.90	21759.65	21765.50	9356	0	95
2025.02.06	14:30:00	21766.15	21771.25	21742.40	21745.03	13594	0	95
2025.02.06	14:45:00	21745.15	21776.53	21744.53	21775.78	13309	0	95
2025.02.06	15:00:00	21775.65	21782.65	21760.65	21766.28	14620	0	95
2025.02.06	15:15:00	21766.15	21780.40	21762.65	21776.90	14342	0	95
2025.02.06	15:30:00	21777.03	21788.90	21737.65	21788.03	130810	0	95
2025.02.06	15:45:00	21787.90	21822.15	21773.50	21789.28	81156	0	95
2025.02.06	16:00:00	21789.40	21839.78	21764.65	21835.53	71081	0	95
2025.02.06	16:15:00	21835.65	21848.15	21783.40	21791.65	66846	0	95
2025.02.06	16:30:00	21791.78	21835.28	21757.65	21776.90	85154	0	95
2025.02.06	16:45:00	21777.03	21780.78	21740.15	21771.28	70364	0	95
2025.02.06	17:00:00	21771.15	21809.28	21768.25	21806.03	45497	0	95
2025.02.06	17:15:00	21806.15	21814.40	21793.78	21800.03	30169	0	95
2025.02.06	17:30:00	21800.15	21802.65	21765.53	21770.03	38038	0	95
2025.02.06	17:45:00	21769.90	21786.53	21753.15	21771.03	35736	0	95
2025.02.06	18:00:00	21771.15	21779.53	21747.65	21765.53	36754	0	95
2025.02.06	18:15:00	21765.40	21806.40	21762.53	21781.90	25598	0	95
2025.02.06	18:30:00	21781.78	21797.15	21767.65	21795.53	22565	0	95
2025.02.06	18:45:00	21795.40	21830.03	21792.65	21815.03	20385	0	95
2025.02.06	19:00:00	21814.90	21832.03	21801.65	21815.15	26358	0	95
2025.02.06	19:15:00	21815.28	21836.25	21801.90	21830.03	25884	0	95
2025.02.06	19:30:00	21829.90	21841.28	21809.90	21826.78	23245	0	95
2025.02.06	19:45:00	21826.65	21829.90	21811.65	21815.28	21031	0	95
2025.02.06	20:00:00	21815.15	21828.78	21807.03	21819.03	21093	0	95
2025.02.06	20:15:00	21818.90	21829.53	21788.50	21796.78	26866	0	95
2025.02.06	20:30:00	21796.90	21798.78	21711.28	21741.03	81870	0	95
2025.02.06	20:45:00	21741.15	21771.65	21733.65	21746.53	43182	0	95
2025.02.06	21:00:00	21746.40	21761.53	21734.78	21761.28	36564	0	95
2025.02.06	21:15:00	21761.15	21793.78	21759.53	21789.78	27274	0	95
2025.02.06	21:30:00	21789.90	21810.65	21788.03	21809.53	27972	0	95
2025.02.06	21:45:00	21809.40	21881.28	21808.40	21871.15	56855	0	95
2025.02.06	22:00:00	21871.28	21875.65	21757.28	21817.50	31872	0	95
2025.02.06	22:15:00	21817.50	21849.53	21805.75	21841.50	8240	0	95
2025.02.06	22:30:00	21841.50	21871.15	21835.50	21843.65	7766	0	95
2025.02.06	22:45:00	21843.50	21848.90	21831.40	21843.50	11448	0	95
2025.02.07	00:00:00	21819.28	21848.03	21807.00	21841.25	4901	0	95
2025.02.07	00:15:00	21841.25	21857.00	21840.15	21850.40	4515	0	95
2025.02.07	00:30:00	21850.25	21852.40	21841.90	21846.65	3378	0	95
2025.02.07	00:45:00	21846.75	21855.03	21843.28	21853.00	3141	0	95
2025.02.07	01:00:00	21852.90	21858.65	21849.15	21852.40	4569	0	95
2025.02.07	01:15:00	21852.28	21853.28	21845.50	21852.40	3527	0	95
2025.02.07	01:30:00	21852.53	21853.78	21843.03	21851.28	2921	0	95
2025.02.07	01:45:00	21851.15	21864.90	21849.65	21863.78	2383	0	95
2025.02.07	02:00:00	21863.90	21875.40	21863.03	21870.65	4328	0	95
2025.02.07	02:15:00	21870.53	21872.15	21861.25	21866.28	3768	0	95
2025.02.07	02:30:00	21866.15	21893.03	21864.75	21891.15	5231	0	95
2025.02.07	02:45:00	21891.28	21895.78	21887.75	21891.15	3967	0	95
2025.02.07	03:00:00	21891.00	21898.90	21881.78	21884.50	3970	0	95
2025.02.07	03:15:00	21884.65	21891.15	21883.65	21886.40	2804	0	95
2025.02.07	03:30:00	21886.28	21890.78	21881.65	21887.53	2429	0	95
2025.02.07	03:45:00	21887.65	21892.03	21884.15	21890.65	2235	0	95
2025.02.07	04:00:00	21890.75	21892.75	21880.15	21880.28	2977	0	95
2025.02.07	04:15:00	21880.40	21884.03	21876.78	21878.78	2455	0	95
2025.02.07	04:30:00	21878.65	21883.28	21866.00	21867.28	2323	0	95
2025.02.07	04:45:00	21867.40	21876.03	21864.28	21871.78	2418	0	95
2025.02.07	05:00:00	21871.90	21873.65	21866.00	21866.65	1557	0	95
2025.02.07	05:15:00	21866.78	21868.40	21858.00	21860.15	1591	0	95
2025.02.07	05:30:00	21860.28	21863.65	21858.40	21861.40	2042	0	95
2025.02.07	05:45:00	21861.28	21864.28	21855.15	21856.28	1947	0	95
2025.02.07	06:00:00	21856.40	21859.40	21854.78	21857.40	2706	0	95
2025.02.07	06:15:00	21857.25	21859.03	21850.50	21852.15	2647	0	95
2025.02.07	06:30:00	21852.25	21857.65	21847.00	21850.90	3492	0	95
2025.02.07	06:45:00	21850.75	21854.65	21844.78	21852.40	2831	0	95
2025.02.07	07:00:00	21852.53	21853.78	21831.53	21833.28	4005	0	95
2025.02.07	07:15:00	21833.40	21842.00	21826.15	21839.40	4405	0	95
2025.02.07	07:30:00	21839.53	21846.40	21827.25	21845.15	4992	0	95
2025.02.07	07:45:00	21845.28	21861.15	21841.03	21860.25	3634	0	95
2025.02.07	08:00:00	21860.15	21868.90	21855.00	21862.40	5278	0	95
2025.02.07	08:15:00	21862.25	21870.15	21858.53	21862.15	4037	0	95
2025.02.07	08:30:00	21862.28	21873.65	21860.53	21869.90	3282	0	95
2025.02.07	08:45:00	21870.00	21872.90	21860.65	21860.65	3541	0	95
2025.02.07	09:00:00	21860.50	21881.40	21859.78	21868.15	9793	0	95
2025.02.07	09:15:00	21868.03	21870.90	21832.40	21843.40	10262	0	95
2025.02.07	09:30:00	21843.53	21858.90	21838.65	21858.40	7642	0	95
2025.02.07	09:45:00	21858.53	21858.90	21838.28	21843.78	6576	0	95
2025.02.07	10:00:00	21843.90	21861.78	21837.15	21847.40	9794	0	95
2025.02.07	10:15:00	21847.28	21852.53	21835.90	21843.28	8165	0	95
2025.02.07	10:30:00	21843.40	21865.40	21841.40	21858.75	6604	0	95
2025.02.07	10:45:00	21858.65	21862.90	21848.40	21854.65	6269	0	95
2025.02.07	11:00:00	21854.50	21860.90	21848.28	21853.65	5563	0	95
2025.02.07	11:15:00	21853.50	21865.65	21850.40	21863.15	4533	0	95
2025.02.07	11:30:00	21863.25	21866.28	21847.15	21852.40	5204	0	95
2025.02.07	11:45:00	21852.28	21856.40	21847.50	21853.65	4740	0	95
2025.02.07	12:00:00	21853.50	21860.28	21848.90	21852.15	3876	0	95
2025.02.07	12:15:00	21852.28	21855.15	21840.53	21849.03	4074	0	95
2025.02.07	12:30:00	21848.90	21868.75	21847.78	21867.40	4231	0	95
2025.02.07	12:45:00	21867.50	21875.40	21862.90	21871.15	4369	0	95
2025.02.07	13:00:00	21871.03	21875.03	21864.15	21869.90	5871	0	95
2025.02.07	13:15:00	21870.03	21876.28	21864.65	21866.78	3463	0	95
2025.02.07	13:30:00	21866.90	21868.78	21855.90	21868.40	4495	0	95
2025.02.07	13:45:00	21868.50	21871.03	21863.15	21864.53	5267	0	95
2025.02.07	14:00:00	21864.65	21867.65	21847.50	21856.65	8257	0	95
2025.02.07	14:15:00	21856.78	21869.90	21838.53	21849.25	9193	0	95
2025.02.07	14:30:00	21849.00	21909.50	21790.25	21880.50	34310	0	95
2025.02.07	14:45:00	21880.25	21881.40	21841.50	21877.90	21130	0	95
2025.02.07	15:00:00	21878.03	21888.90	21863.50	21886.03	22870	0	95
2025.02.07	15:15:00	21885.90	21893.53	21871.78	21885.53	20357	0	95
2025.02.07	15:30:00	21885.40	21967.15	21869.40	21936.78	127717	0	95
2025.02.07	15:45:00	21936.65	21959.40	21893.00	21904.00	81351	0	95
2025.02.07	16:00:00	21903.75	21904.00	21685.53	21718.78	220754	0	95
2025.02.07	16:15:00	21718.90	21781.28	21699.28	21744.65	150902	0	95
2025.02.07	16:30:00	21744.78	21799.78	21731.28	21750.40	123772	0	95
2025.02.07	16:45:00	21750.53	21803.28	21612.75	21721.15	138222	0	95
2025.02.07	17:00:00	21721.00	21726.15	21625.53	21665.90	190958	0	95
2025.02.07	17:15:00	21665.78	21758.15	21649.25	21654.90	154898	0	95
2025.02.07	17:30:00	21655.00	21685.65	21638.25	21652.40	121853	0	95
2025.02.07	17:45:00	21652.28	21673.28	21606.75	21627.65	122494	0	95
2025.02.07	18:00:00	21627.75	21674.28	21584.78	21669.65	134317	0	95
2025.02.07	18:15:00	21669.75	21672.03	21585.25	21624.78	144473	0	95
2025.02.07	18:30:00	21624.65	21670.53	21606.50	21657.28	77037	0	95
2025.02.07	18:45:00	21657.15	21682.40	21642.15	21652.15	57822	0	95
2025.02.07	19:00:00	21652.03	21721.40	21645.15	21714.53	54702	0	95
2025.02.07	19:15:00	21714.40	21730.15	21698.78	21710.03	41715	0	95
2025.02.07	19:30:00	21710.15	21725.15	21656.53	21667.78	48219	0	95
2025.02.07	19:45:00	21667.90	21670.65	21619.00	21623.53	67627	0	95
2025.02.07	20:00:00	21623.65	21636.90	21594.78	21604.15	52160	0	95
2025.02.07	20:15:00	21604.28	21612.15	21573.03	21578.15	49178	0	95
2025.02.07	20:30:00	21578.03	21618.28	21565.65	21610.28	46905	0	95
2025.02.07	20:45:00	21610.40	21623.40	21592.78	21607.40	37539	0	95
2025.02.07	21:00:00	21607.28	21607.28	21559.03	21567.65	53071	0	95
2025.02.07	21:15:00	21567.53	21591.28	21552.75	21574.53	45567	0	95
2025.02.07	21:30:00	21574.40	21599.40	21571.28	21590.65	51408	0	95
2025.02.07	21:45:00	21590.78	21619.25	21581.28	21587.65	64425	0	95
2025.02.10	00:00:00	21460.28	21558.90	21418.00	21536.75	21963	0	95
2025.02.10	00:15:00	21536.75	21555.25	21525.25	21547.75	2593	0	95
2025.02.10	00:30:00	21547.75	21589.75	21546.25	21587.75	4101	0	95
2025.02.10	00:45:00	21588.00	21655.75	21587.75	21645.15	6826	0	95
2025.02.10	01:00:00	21644.50	21675.00	21643.25	21655.50	6507	0	95
2025.02.10	01:15:00	21655.50	21662.28	21641.25	21655.15	6290	0	95
2025.02.10	01:30:00	21655.28	21683.28	21654.00	21665.15	8691	0	95
2025.02.10	01:45:00	21664.75	21699.40	21658.25	21698.15	7790	0	95
2025.02.10	02:00:00	21698.03	21699.28	21677.25	21679.78	8029	0	95
2025.02.10	02:15:00	21679.90	21691.78	21667.40	21671.00	8264	0	95
2025.02.10	02:30:00	21670.90	21676.03	21664.65	21673.15	6455	0	95
2025.02.10	02:45:00	21673.00	21674.15	21664.90	21671.00	4934	0	95
2025.02.10	03:00:00	21671.15	21671.90	21664.00	21667.75	4723	0	95
2025.02.10	03:15:00	21667.65	21675.00	21659.03	21667.90	5426	0	95
2025.02.10	03:30:00	21667.75	21680.40	21665.65	21679.40	4287	0	95
2025.02.10	03:45:00	21679.28	21682.78	21671.15	21675.15	2975	0	95
2025.02.10	04:00:00	21675.25	21680.03	21672.03	21673.40	2600	0	95
2025.02.10	04:15:00	21673.28	21676.03	21668.75	21674.40	2433	0	95
2025.02.10	04:30:00	21674.53	21683.15	21673.90	21675.03	2529	0	95
2025.02.10	04:45:00	21674.90	21691.15	21673.53	21689.40	2886	0	95
2025.02.10	05:00:00	21689.28	21692.78	21687.00	21691.40	2127	0	95
2025.02.10	05:15:00	21691.53	21700.40	21690.65	21698.40	2103	0	95
2025.02.10	05:30:00	21698.53	21701.90	21688.65	21688.90	2213	0	95
2025.02.10	05:45:00	21689.00	21689.65	21681.40	21683.40	2063	0	95
2025.02.10	06:00:00	21683.50	21709.65	21683.15	21707.65	4183	0	95
2025.02.10	06:15:00	21707.50	21719.15	21704.65	21715.78	3966	0	95
2025.02.10	06:30:00	21715.90	21731.00	21708.75	21720.65	5468	0	95
2025.02.10	06:45:00	21720.53	21724.65	21711.15	21713.65	2893	0	95
2025.02.10	07:00:00	21713.78	21715.15	21704.03	21706.28	2768	0	95
2025.02.10	07:15:00	21706.40	21709.15	21696.25	21696.28	3170	0	95
2025.02.10	07:30:00	21696.15	21696.15	21682.90	21689.90	3020	0	95
2025.02.10	07:45:00	21689.78	21694.53	21682.78	21693.78	2818	0	95
2025.02.10	08:00:00	21693.90	21700.90	21690.40	21699.25	4026	0	95
2025.02.10	08:15:00	21699.15	21700.03	21682.90	21694.90	4422	0	95
2025.02.10	08:30:00	21695.00	21699.15	21684.25	21691.15	3725	0	95
2025.02.10	08:45:00	21691.00	21701.15	21689.78	21690.00	4228	0	95
2025.02.10	09:00:00	21687.00	21707.90	21682.65	21702.90	9288	0	95
2025.02.10	09:15:00	21703.03	21715.40	21690.65	21706.15	6645	0	95
2025.02.10	09:30:00	21706.00	21707.25	21688.50	21701.65	5972	0	95
2025.02.10	09:45:00	21701.78	21705.28	21690.53	21694.28	4960	0	95
2025.02.10	10:00:00	21694.40	21707.40	21684.78	21707.15	9056	0	95
2025.02.10	10:15:00	21707.00	21714.03	21703.40	21710.50	5477	0	95
2025.02.10	10:30:00	21710.65	21714.53	21698.50	21701.53	4765	0	95
2025.02.10	10:45:00	21701.65	21708.78	21689.90	21708.50	4578	0	95
2025.02.10	11:00:00	21708.65	21716.65	21706.75	21711.03	4297	0	95
2025.02.10	11:15:00	21711.15	21729.40	21707.28	21723.28	4740	0	95
2025.02.10	11:30:00	21723.40	21734.40	21719.28	21730.78	3615	0	95
2025.02.10	11:45:00	21730.90	21732.15	21724.40	21725.78	2393	0	95
2025.02.10	12:00:00	21725.65	21733.65	21694.78	21728.40	12533	0	95
2025.02.10	12:15:00	21728.25	21744.90	21726.00	21742.65	5524	0	95
2025.02.10	12:30:00	21742.78	21751.78	21738.50	21743.03	4821	0	95
2025.02.10	12:45:00	21742.90	21743.40	21734.90	21741.90	3086	0	95
2025.02.10	13:00:00	21741.75	21746.00	21728.78	21729.90	8521	0	95
2025.02.10	13:15:00	21730.03	21741.28	21729.90	21736.65	5070	0	95
2025.02.10	13:30:00	21736.53	21736.65	21721.65	21728.53	5932	0	95
2025.02.10	13:45:00	21728.40	21738.90	21724.53	21738.65	5157	0	95
2025.02.10	14:00:00	21738.75	21749.03	21732.90	21748.65	6711	0	95
2025.02.10	14:15:00	21748.53	21762.53	21745.40	21759.78	7763	0	95
2025.02.10	14:30:00	21759.90	21784.15	21757.40	21774.15	8623	0	95
2025.02.10	14:45:00	21774.03	21784.90	21764.75	21779.78	7398	0	95
2025.02.10	15:00:00	21779.90	21790.90	21766.40	21768.03	9743	0	95
2025.02.10	15:15:00	21767.90	21768.53	21744.00	21763.78	14652	0	95
2025.02.10	15:30:00	21763.65	21802.28	21743.40	21798.15	111619	0	95
2025.02.10	15:45:00	21798.28	21808.28	21751.15	21792.03	84848	0	95
2025.02.10	16:00:00	21792.15	21851.03	21782.03	21841.28	71277	0	95
2025.02.10	16:15:00	21841.15	21872.90	21833.75	21862.28	51401	0	95
2025.02.10	16:30:00	21862.40	21886.65	21862.40	21875.53	43275	0	95
2025.02.10	16:45:00	21875.40	21893.15	21861.03	21864.78	38422	0	95
2025.02.10	17:00:00	21864.90	21885.90	21856.03	21871.15	38255	0	95
2025.02.10	17:15:00	21871.28	21873.53	21844.03	21854.65	39545	0	95
2025.02.10	17:30:00	21854.78	21858.28	21838.53	21848.40	30821	0	95
2025.02.10	17:45:00	21848.53	21872.65	21835.65	21871.28	29548	0	95
2025.02.10	18:00:00	21871.15	21871.53	21816.65	21830.53	37016	0	95
2025.02.10	18:15:00	21830.40	21839.65	21817.15	21824.78	29153	0	95
2025.02.10	18:30:00	21824.90	21856.53	21822.78	21849.53	20286	0	95
2025.02.10	18:45:00	21849.65	21867.78	21840.90	21865.53	18140	0	95
2025.02.10	19:00:00	21865.40	21868.78	21857.40	21866.53	16029	0	95
2025.02.10	19:15:00	21866.40	21876.40	21859.90	21864.53	17103	0	95
2025.02.10	19:30:00	21864.65	21871.40	21858.53	21861.53	16788	0	95
2025.02.10	19:45:00	21861.65	21884.78	21861.40	21878.28	15120	0	95
2025.02.10	20:00:00	21878.40	21878.65	21856.28	21874.53	21078	0	95
2025.02.10	20:15:00	21874.40	21881.03	21860.65	21869.78	15341	0	95
2025.02.10	20:30:00	21869.90	21874.40	21856.65	21860.78	15634	0	95
2025.02.10	20:45:00	21860.65	21869.65	21844.40	21861.78	19506	0	95
2025.02.10	21:00:00	21861.90	21872.65	21851.65	21872.53	16080	0	95
2025.02.10	21:15:00	21872.65	21874.78	21859.40	21862.28	17661	0	95
2025.02.10	21:30:00	21862.40	21864.90	21847.40	21857.53	25413	0	95
2025.02.10	21:45:00	21857.40	21860.78	21832.40	21843.03	47159	0	95
2025.02.10	22:00:00	21843.15	21847.15	21820.78	21825.78	13378	0	95
2025.02.10	22:15:00	21825.90	21835.53	21824.03	21833.40	4527	0	95
2025.02.10	22:30:00	21833.28	21838.15	21830.90	21836.78	2667	0	95
2025.02.10	22:45:00	21836.65	21838.28	21832.65	21836.15	2307	0	95
2025.02.11	00:00:00	21830.00	21832.25	21787.75	21802.00	7226	0	95
2025.02.11	00:15:00	21801.25	21803.65	21773.75	21784.50	4326	0	95
2025.02.11	00:30:00	21784.25	21798.25	21783.25	21790.25	3038	0	95
2025.02.11	00:45:00	21790.25	21797.50	21785.15	21795.00	2586	0	95
2025.02.11	01:00:00	21795.00	21796.25	21782.65	21783.50	2535	0	95
2025.02.11	01:15:00	21783.65	21799.75	21782.75	21798.15	2273	0	95
2025.02.11	01:30:00	21798.00	21812.65	21797.50	21811.90	2401	0	95
2025.02.11	01:45:00	21811.78	21815.40	21804.90	21809.15	2447	0	95
2025.02.11	02:00:00	21809.03	21812.00	21803.50	21806.75	2371	0	95
2025.02.11	02:15:00	21806.50	21808.65	21788.40	21791.65	3865	0	95
2025.02.11	02:30:00	21791.75	21809.65	21790.90	21804.03	4678	0	95
2025.02.11	02:45:00	21803.90	21805.65	21791.00	21794.40	3539	0	95
2025.02.11	03:00:00	21794.50	21796.28	21783.00	21788.00	4359	0	95
2025.02.11	03:15:00	21788.15	21790.28	21756.50	21767.65	8479	0	95
2025.02.11	03:30:00	21767.78	21769.28	21750.03	21759.15	7575	0	95
2025.02.11	03:45:00	21759.00	21766.03	21756.40	21762.40	3666	0	95
2025.02.11	04:00:00	21762.50	21765.65	21752.00	21760.00	4159	0	95
