Time;Open;High;Low;Close
2025.10.23 18:00;25193.61;25223.08;25186.90;25222.33
2025.10.23 18:15;25221.88;25225.32;25184.16;25200.38
2025.10.23 18:30;25199.92;25228.62;25197.87;25227.08
2025.10.23 18:45;25227.61;25240.17;25216.81;25239.36
2025.10.23 19:00;25239.12;25245.12;25188.88;25235.37
2025.10.23 19:15;25235.35;25240.67;25199.11;25206.15
2025.10.23 19:30;25205.91;25273.56;25204.12;25265.12
2025.10.23 19:45;25265.35;25282.12;25264.91;25278.35
2025.10.23 20:00;25278.38;25281.54;25257.48;25260.79
2025.10.23 20:15;25260.78;25276.79;25245.28;25275.77
2025.10.23 20:30;25275.78;25284.23;25256.00;25263.50
2025.10.23 20:45;25263.78;25276.00;25253.48;25272.79
2025.10.23 21:00;25273.23;25279.79;25261.73;25275.53
2025.10.23 21:15;25275.79;25281.54;25265.50;25274.23
2025.10.23 21:30;25272.98;25273.54;25253.74;25255.23
2025.10.23 21:45;25255.53;25267.75;25229.79;25250.77
2025.10.23 22:00;25251.49;25277.79;25246.77;25267.79
2025.10.23 22:15;25267.24;25274.28;25263.23;25271.73
2025.10.23 22:30;25271.74;25293.79;25269.48;25281.03
2025.10.23 22:45;25281.24;25284.04;25264.52;25276.84
2025.10.24 00:00;25282.73;25298.99;25282.18;25290.68
2025.10.24 00:15;25290.70;25297.95;25288.48;25290.69
2025.10.24 00:30;25290.97;25301.97;25290.97;25294.99
2025.10.24 00:45;25295.24;25296.72;25287.69;25290.74
2025.10.24 01:00;25290.45;25300.74;25289.70;25296.93
2025.10.24 01:15;25296.95;25299.48;25293.44;25295.97
2025.10.24 01:30;25295.74;25300.24;25295.23;25296.93
2025.10.24 01:45;25296.98;25301.74;25293.43;25296.44
2025.10.24 02:00;25296.72;25303.99;25284.68;25289.43
2025.10.24 02:15;25289.23;25295.44;25288.69;25291.23
2025.10.24 02:30;25291.24;25302.99;25291.24;25298.19
2025.10.24 02:45;25298.20;25300.48;25292.19;25299.99
2025.10.24 03:00;25299.44;25317.33;25298.94;25317.33
2025.10.24 03:15;25317.47;25319.94;25301.98;25302.74
2025.10.24 03:30;25302.56;25306.19;25296.68;25306.19
2025.10.24 03:45;25305.70;25318.58;25305.70;25317.43
2025.10.24 04:00;25317.18;25318.72;25310.68;25316.93
2025.10.24 04:15;25317.08;25325.23;25314.72;25322.43
2025.10.24 04:30;25322.49;25322.98;25302.44;25303.44
2025.10.24 04:45;25303.74;25315.49;25303.47;25308.94
2025.10.24 05:00;25309.11;25311.81;25303.74;25308.36
2025.10.24 05:15;25308.72;25326.48;25308.20;25325.48
2025.10.24 05:30;25325.43;25328.20;25323.94;25325.98
2025.10.24 05:45;25325.44;25328.99;25323.20;25328.23
2025.10.24 06:00;25328.47;25330.73;25318.95;25328.97
2025.10.24 06:15;25328.99;25333.49;25324.93;25327.93
2025.10.24 06:30;25327.45;25328.48;25323.11;25326.47
2025.10.24 06:45;25326.69;25334.60;25325.45;25331.49
2025.10.24 07:00;25331.22;25334.69;25328.24;25328.49
2025.10.24 07:15;25328.69;25344.11;25326.69;25342.19
2025.10.24 07:30;25341.95;25343.44;25334.43;25342.48
2025.10.24 07:45;25342.45;25346.57;25339.43;25345.97
2025.10.24 08:00;25345.69;25368.06;25344.12;25365.63
2025.10.24 08:15;25365.37;25380.12;25365.37;25377.88
2025.10.24 08:30;25377.37;25377.66;25354.61;25356.86
2025.10.24 08:45;25356.63;25363.17;25353.92;25359.81
2025.10.24 09:00;25361.11;25365.40;25349.36;25352.62
2025.10.24 09:15;25352.66;25355.63;25339.90;25345.38
2025.10.24 09:30;25345.61;25367.38;25344.12;25354.66
2025.10.24 09:45;25354.61;25355.91;25332.92;25336.15
2025.10.24 10:00;25336.42;25341.37;25323.15;25333.88
